Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Glutamine Transport (GO:0006868)	2/8	0.0025994009309190567	0.08342839178283068	0	0	33.84102564102564	201.43783445575303	SLC1A5;SLC38A3
Morphogenesis Of An Epithelium (GO:0002009)	3/29	0.0028477695763080286	0.08927426485728425	0	0	11.76268834258525	68.94369470895907	TIMELESS;TBX18;VCL
Intestinal Cholesterol Absorption (GO:0030299)	2/9	0.0033204676280374885	0.10172705369533033	0	0	29.005128205128205	165.55110996868967	LIMA1;LDLR
Regulation Of Transcription By RNA Polymerase I (GO:0006356)	3/32	0.003782881560747066	0.11331831875304545	0	0	10.544258798435834	58.80817027735558	DDX21;FLNA;WDR75
Positive Regulation Of Nitric-Oxide Synthase Biosynthetic Process (GO:0051770)	2/10	0.004123755680320674	0.12084397080591887	0	0	25.378205128205128	139.35149488816708	IL33;TLR4
Embryonic Skeletal System Development (GO:0048706)	3/34	0.004498592379257495	0.12902345802636392	0	0	9.862986365147988	53.2994869440772	SLC2A10;HOXA3;SIX1
Base-Excision Repair, AP Site Formation (GO:0006285)	2/11	0.005007592046728153	0.12981219382672213	0	0	22.55726495726496	119.48132348032874	MPG;UNG
Histone H2A Ubiquitination (GO:0033522)	2/11	0.005007592046728153	0.12981219382672213	0	0	22.55726495726496	119.48132348032874	BARD1;BRCA1
Intestinal Lipid Absorption (GO:0098856)	2/11	0.005007592046728153	0.12981219382672213	0	0	22.55726495726496	119.48132348032874	LIMA1;LDLR
Purine Ribonucleoside Monophosphate Biosynthetic Process (GO:0009168)	2/11	0.005007592046728153	0.12981219382672213	0	0	22.55726495726496	119.48132348032874	ATIC;GART
Regulation Of Cell Cycle Checkpoint (GO:1901976)	2/11	0.005007592046728153	0.12981219382672213	0	0	22.55726495726496	119.48132348032874	BARD1;BRCA1
Response To Ionizing Radiation (GO:0010212)	4/72	0.005575085584923977	0.1417965163863683	0	0	6.014934471197805	31.21418731705453	BARD1;ANXA1;BRCA1;RAD9A
Positive Regulation Of DNA-directed DNA Polymerase Activity (GO:1900264)	2/12	0.00597032836930331	0.14559297761388545	0	0	20.30051282051282	103.95797913201734	RFC3;DSCC1
Regulation Of DNA-directed DNA Polymerase Activity (GO:1900262)	2/12	0.00597032836930331	0.14559297761388545	0	0	20.30051282051282	103.95797913201734	RFC3;DSCC1
Plasma Membrane Bounded Cell Projection Assembly (GO:0120031)	8/275	0.006048372957253401	0.14559297761388545	0	0	3.0970810296652993	15.819784523806328	FGD4;WDR90;EMP1;FLNA;POC1B;PARVB;CEP290;VCL
Calcium-Dependent Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0016339)	3/38	0.006162085122232802	0.14572790780297926	0	0	8.7340206185567	44.45040106119308	CDH6;PCDHB5;PCDHB9
Nuclear Transport (GO:0051169)	3/39	0.006627810801241037	0.15403946482884343	0	0	8.4909793814433	42.59483440510028	NUP107;NUP43;NUP37
Regulation Of Nitric-Oxide Synthase Biosynthetic Process (GO:0051769)	2/13	0.007010340653319842	0.15749898667791912	0	0	18.454079254079254	91.53904235612109	IL33;TLR4
Positive Regulation Of Glycoprotein Biosynthetic Process (GO:0010560)	2/13	0.007010340653319842	0.15749898667791912	0	0	18.454079254079254	91.53904235612109	IL33;SLC2A10
Regulation Of DNA Metabolic Process (GO:0051052)	5/124	0.007717379545725152	0.16898178700692776	0	0	4.307598039215686	20.95336475480143	BARD1;ING5;USP37;DSCC1;BRCA1
Response To Cytokine (GO:0034097)	5/125	0.007976248202007227	0.16898178700692776	0	0	4.271484375	20.636767479245137	IFITM3;IFITM2;ANXA1;MME;CXCR4
Positive Regulation Of Histone Acetylation (GO:0035066)	2/14	0.008126028955916794	0.16898178700692776	0	0	16.915384615384614	81.40838259081515	DDX21;BRCA1
Histone H2A Monoubiquitination (GO:0035518)	2/14	0.008126028955916794	0.16898178700692776	0	0	16.915384615384614	81.40838259081515	BARD1;BRCA1
DNA Recombination (GO:0006310)	3/42	0.008148231569325152	0.16898178700692776	0	0	7.8366375892149085	37.69386914494451	BARD1;RMI2;BRCA1
DNA-templated DNA Replication Maintenance Of Fidelity (GO:0045005)	3/43	0.008696775011130918	0.1749739211194698	0	0	7.6403350515463915	36.25188475318923	FAM111A;TIMELESS;PRIMPOL
Skeletal System Morphogenesis (GO:0048705)	3/43	0.008696775011130918	0.1749739211194698	0	0	7.6403350515463915	36.25188475318923	HOXA3;RFLNB;SIX1
Vascular Transport (GO:0010232)	4/83	0.009161752387127879	0.17939602017034934	0	0	5.174526136289106	24.282590957840732	SLC12A2;SLC2A10;SLC1A5;SLC38A3
Positive Regulation Of Cell Activation (GO:0050867)	2/15	0.009315817071160575	0.17939602017034934	0	0	15.613412228796845	73.00896452426382	FLNA;TLR4
Negative Regulation Of DNA Replication (GO:0008156)	2/15	0.009315817071160575	0.17939602017034934	0	0	15.613412228796845	73.00896452426382	CDT1;CDC6
Transport Across Blood-Brain Barrier (GO:0150104)	4/85	0.009943380295161256	0.1861621755260746	0	0	5.0462483208597195	23.267485220068146	SLC12A2;SLC2A10;SLC1A5;SLC38A3
Negative Regulation Of Cell Cycle (GO:0045786)	4/85	0.009943380295161256	0.1861621755260746	0	0	5.0462483208597195	23.267485220068146	BARD1;CDT1;TFAP4;BRCA1
Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901990)	4/86	0.010349907800998943	0.19111884542118596	0	0	4.984455958549223	22.78283997960764	TFAP4;CDK2;KNTC1;CDC6
Cellular Response To Mechanical Stimulus (GO:0071260)	3/48	0.011760036537124267	0.19581351748023867	0	0	6.789690721649484	30.16692334047959	CNN2;CASP2;TLR4
Cellular Response To Radiation (GO:0071478)	3/48	0.011760036537124267	0.19581351748023867	0	0	6.789690721649484	30.16692334047959	BARD1;BRCA1;RAD9A
Post-Translational Protein Modification (GO:0043687)	3/48	0.011760036537124267	0.19581351748023867	0	0	6.789690721649484	30.16692334047959	DSCC1;RHBDD1;CDK2
DNA Biosynthetic Process (GO:0071897)	2/17	0.011911504772536776	0.19581351748023867	0	0	13.53025641025641	59.942426015408465	POLA1;RFC3
DNA Modification (GO:0006304)	2/17	0.011911504772536776	0.19581351748023867	0	0	13.53025641025641	59.942426015408465	MPG;UNG
Polyol Metabolic Process (GO:0019751)	2/17	0.011911504772536776	0.19581351748023867	0	0	13.53025641025641	59.942426015408465	INPP4B;PPIP5K2
Response To Interferon-Alpha (GO:0035455)	2/17	0.011911504772536776	0.19581351748023867	0	0	13.53025641025641	59.942426015408465	IFITM3;IFITM2
Positive Regulation Of Macrophage Activation (GO:0043032)	2/17	0.011911504772536776	0.19581351748023867	0	0	13.53025641025641	59.942426015408465	IL33;TLR4
Positive Regulation Of Peptidyl-Lysine Acetylation (GO:2000758)	2/17	0.011911504772536776	0.19581351748023867	0	0	13.53025641025641	59.942426015408465	DDX21;BRCA1
Nucleocytoplasmic Transport (GO:0006913)	3/50	0.013137476004219155	0.20629618294388416	0	0	6.500109673173942	28.160336535989156	NUP107;NUP43;NUP37
Negative Regulation Of Viral Entry Into Host Cell (GO:0046597)	2/18	0.013314367890295196	0.20629618294388416	0	0	12.683974358974359	54.780963160336874	IFITM3;IFITM2
Cellular Response To Inorganic Substance (GO:0071241)	2/18	0.013314367890295196	0.20629618294388416	0	0	12.683974358974359	54.780963160336874	CDK2;TIMELESS
Positive Regulation Of Chromosome Segregation (GO:0051984)	2/18	0.013314367890295196	0.20629618294388416	0	0	12.683974358974359	54.780963160336874	CDC6;NCAPD3
Regulation Of DNA Damage Checkpoint (GO:2000001)	2/18	0.013314367890295196	0.20629618294388416	0	0	12.683974358974359	54.780963160336874	BARD1;BRCA1
Negative Regulation Of Gene Expression, Epigenetic (GO:0045814)	3/51	0.013859247206799711	0.21229846857688647	0	0	6.364368556701031	27.231876732729464	HELLS;SMYD5;UHRF1
Actin Filament Organization (GO:0007015)	5/144	0.0141030886924548	0.21360633210594462	0	0	3.684052757793765	15.699080399562302	CNN2;ENAH;RFLNB;SHROOM3;FLNA
Cell Junction Assembly (GO:0034329)	4/95	0.01449757698772701	0.21583923304813812	0	0	4.489438023116779	19.007264844708796	CDH6;GJC1;PCDHB5;PCDHB9
Cellular Response To Ionizing Radiation (GO:0071479)	3/52	0.014603173004958886	0.21583923304813812	0	0	6.2341678939617085	26.3488131233089	BARD1;BRCA1;RAD9A
Regulation Of Integrin-Mediated Signaling Pathway (GO:2001044)	2/19	0.014785257285460358	0.21583923304813812	0	0	11.937254901960785	50.30508101951383	SLC2A10;FLNA
Regulation Of Cold-Induced Thermogenesis (GO:0120161)	5/146	0.014890985662816651	0.21583923304813812	0	0	3.631427304964539	15.27741190550336	LAMA4;PLCL1;CXCR4;TLR4;LGR4
Actin Cytoskeleton Reorganization (GO:0031532)	3/53	0.015369331667260133	0.21808272723649114	0	0	6.109175257731959	25.508135551102868	ANXA1;FLNA;PARVB
Negative Regulation Of Viral Genome Replication (GO:0045071)	3/53	0.015369331667260133	0.21808272723649114	0	0	6.109175257731959	25.508135551102868	IFITM3;FAM111A;IFITM2
Negative Regulation Of Viral Life Cycle (GO:1903901)	2/20	0.016322710900516662	0.2268351989061491	0	0	11.273504273504274	46.39270036949823	IFITM3;IFITM2
Positive Regulation Of Leukocyte Activation (GO:0002696)	2/20	0.016322710900516662	0.2268351989061491	0	0	11.273504273504274	46.39270036949823	IL33;TLR4
Purine Ribonucleotide Biosynthetic Process (GO:0009152)	3/55	0.016968614492208902	0.23340502383160816	0	0	5.873612212529738	23.9431331919308	ATIC;GART;SLC25A13
Mitotic DNA Damage Checkpoint Signaling (GO:0044773)	3/56	0.017801849708879356	0.24239286270272092	0	0	5.762497568566427	23.213950103879583	CDK2;BRCA1;RAD9A
Regulation Of Histone Acetylation (GO:0035065)	2/22	0.019591572002695453	0.2589160692120928	0	0	10.145128205128206	39.897297329224884	DDX21;BRCA1
Cellular Response To Low-Density Lipoprotein Particle Stimulus (GO:0071404)	2/22	0.019591572002695453	0.2589160692120928	0	0	10.145128205128206	39.897297329224884	LDLR;TLR4
Inositol Phosphate Metabolic Process (GO:0043647)	2/22	0.019591572002695453	0.2589160692120928	0	0	10.145128205128206	39.897297329224884	INPP4B;PPIP5K2
Regulation Of Extracellular Matrix Organization (GO:1903053)	2/23	0.02132016395419343	0.27902505835196834	0	0	9.661538461538461	37.1785853760073	SLC2A10;DDR2
Positive Regulation Of DNA Metabolic Process (GO:0051054)	4/108	0.022133281241070803	0.28635907709581265	0	0	3.9256675966520524	14.959434986538138	CDT1;EYA4;BRCA1;GNL3
Negative Regulation Of Viral Process (GO:0048525)	3/61	0.02230541772630588	0.28635907709581265	0	0	5.26439744045503	20.020112230009786	IFITM3;FAM111A;IFITM2
Nitrogen Compound Transport (GO:0071705)	5/163	0.02279855350760312	0.2899287747948019	0	0	3.2379021624472575	12.242696482238658	SLC12A2;CALCRL;SLC1A5;SLC38A3;CEP290
Mitotic Sister Chromatid Segregation (GO:0000070)	4/111	0.02418496831488669	0.30346708106850706	0	0	3.815021064355237	14.199599896502471	CENPK;FLNA;KNTC1;NCAPD3
Inner Ear Morphogenesis (GO:0042472)	2/25	0.02495879046654312	0.30346708106850706	0	0	8.820512820512821	32.552360083627626	SIX1;TBX18
Lamellipodium Assembly (GO:0030032)	2/25	0.02495879046654312	0.30346708106850706	0	0	8.820512820512821	32.552360083627626	PARVB;VCL
Mitotic Cell Cycle Checkpoint Signaling (GO:0007093)	2/25	0.02495879046654312	0.30346708106850706	0	0	8.820512820512821	32.552360083627626	BARD1;BRCA1
Regulation Of Cytokine Production (GO:0001817)	5/167	0.02498875815920199	0.30346708106850706	0	0	3.1573109567901234	11.648359597546872	POLA1;IL33;ANXA1;ATP2B1;LGR4
Protein N-linked Glycosylation (GO:0006487)	3/64	0.02527798651780626	0.3042386234464539	0	0	5.00473212776745	18.40651072115275	ALG8;B4GALT1;GFPT2
Protein Localization To Cell Surface (GO:0034394)	2/26	0.02686613524205613	0.31768026584466375	0	0	8.452564102564102	30.57198357511335	FLNA;VCL
Mitotic G1 DNA Damage Checkpoint Signaling (GO:0031571)	2/26	0.02686613524205613	0.31768026584466375	0	0	8.452564102564102	30.57198357511335	CDK2;CASP2
Negative Regulation Of Multicellular Organismal Process (GO:0051241)	6/231	0.027155125203356927	0.31830529368804467	0	0	2.7334031413612565	9.857169644265602	LAMA4;PLCL1;ATP2B1;TLR4;LGR4;TBX18
Regulation Of Viral Genome Replication (GO:0045069)	3/67	0.02845310939271304	0.3260657571491919	0	0	4.76941043814433	16.976706110394257	IFITM3;FAM111A;IFITM2
Cholesterol Metabolic Process (GO:0008203)	3/67	0.02845310939271304	0.3260657571491919	0	0	4.76941043814433	16.976706110394257	HSD17B7;LBR;TM7SF2
Protein Processing (GO:0016485)	4/117	0.028624055514694685	0.3260657571491919	0	0	3.6113531111009216	12.832971494975308	FAM111A;MME;CASP2;SEC11C
Amino Acid Import Across Plasma Membrane (GO:0089718)	2/27	0.028830408484229103	0.3260657571491919	0	0	8.114051282051282	28.77505965674187	SLC1A5;SLC38A3
Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056)	4/118	0.029407854075363744	0.3260657571491919	0	0	3.5794927733842377	12.623057980359416	PREX2;FGD4;STARD13;ARHGAP18
Skin Development (GO:0043588)	3/68	0.029556360505353877	0.3260657571491919	0	0	4.695796986518636	16.5360439416341	ANXA1;ABCB6;SLC2A10
Phagocytosis (GO:0006909)	3/69	0.03068198012588496	0.3260657571491919	0	0	4.624414245548266	16.111828090053432	ANXA1;TLR4;LDLR
Regulation Of Platelet Activation (GO:0010543)	2/28	0.03085031584987684	0.3260657571491919	0	0	7.801577909270217	27.138633593681813	FLNA;TLR4
Positive Regulation Of Defense Response To Virus By Host (GO:0002230)	2/28	0.03085031584987684	0.3260657571491919	0	0	7.801577909270217	27.138633593681813	TRAF3IP2;STING1
Negative Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010972)	2/28	0.03085031584987684	0.3260657571491919	0	0	7.801577909270217	27.138633593681813	BARD1;BRCA1
Negative Regulation Of Cytokine Production (GO:0001818)	5/178	0.03169331679797735	0.3260657571491919	0	0	2.9549012524084777	10.199283273484896	ANXA1;SLC2A10;ATP2B1;TLR4;LGR4
RNA Biosynthetic Process (GO:0032774)	2/29	0.0329245827601245	0.3260657571491919	0	0	7.5122507122507125	25.643336022665586	POLA1;PRIM1
Carbohydrate Derivative Biosynthetic Process (GO:1901137)	2/29	0.0329245827601245	0.3260657571491919	0	0	7.5122507122507125	25.643336022665586	ALG8;DDR2
Peptidyl-Tyrosine Dephosphorylation (GO:0035335)	2/29	0.0329245827601245	0.3260657571491919	0	0	7.5122507122507125	25.643336022665586	TNS2;DUSP6
Response To Interferon-Beta (GO:0035456)	2/29	0.0329245827601245	0.3260657571491919	0	0	7.5122507122507125	25.643336022665586	IFITM3;IFITM2
Protein Acetylation (GO:0006473)	2/29	0.0329245827601245	0.3260657571491919	0	0	7.5122507122507125	25.643336022665586	ING5;DSCC1
Maintenance Of Blood-Brain Barrier (GO:0035633)	2/29	0.0329245827601245	0.3260657571491919	0	0	7.5122507122507125	25.643336022665586	SLC12A2;VCL
Negative Regulation Of Supramolecular Fiber Organization (GO:1902904)	3/71	0.03300011421612208	0.3260657571491919	0	0	4.4879472407519705	15.30948424816273	LIMA1;LDLR;EML2
Cell-Cell Junction Assembly (GO:0007043)	3/71	0.03300011421612208	0.3260657571491919	0	0	4.4879472407519705	15.30948424816273	CDH6;GJC1;VCL
Protein Autoubiquitination (GO:0051865)	3/71	0.03300011421612208	0.3260657571491919	0	0	4.4879472407519705	15.30948424816273	BARD1;UHRF1;BRCA1
Cellular Response To Cytokine Stimulus (GO:0071345)	7/308	0.03329702133529704	0.3260657571491919	0	0	2.38702570379437	8.121347321262952	SLC12A2;IFITM2;MME;TCF7;CXCR4;BRCA1;TLR4
Positive Regulation Of Programmed Cell Death (GO:0043068)	6/245	0.034735066432252694	0.3260657571491919	0	0	2.5714473482442113	8.640077341817916	BARD1;ING5;TFAP4;CASP2;HOXA5;DUSP6
Embryonic Skeletal System Morphogenesis (GO:0048704)	2/30	0.0350519541056609	0.3260657571491919	0	0	7.243589743589744	24.27271810304722	HOXA3;SIX1
Lamellipodium Organization (GO:0097581)	2/30	0.0350519541056609	0.3260657571491919	0	0	7.243589743589744	24.27271810304722	PARVB;VCL
Maturation Of SSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	2/30	0.0350519541056609	0.3260657571491919	0	0	7.243589743589744	24.27271810304722	UTP20;PWP2
Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090049)	2/30	0.0350519541056609	0.3260657571491919	0	0	7.243589743589744	24.27271810304722	STARD13;ANXA1
Cellular Response To Reactive Oxygen Species (GO:0034614)	3/73	0.03540703198107052	0.3260657571491919	0	0	4.3592783505154635	14.563672561805397	ANXA1;ERCC6L2;CAMKK2
Regulation Of Macrophage Activation (GO:0043030)	2/31	0.037231194018021774	0.3260657571491919	0	0	6.993457117595049	23.012728178240227	IL33;TLR4
Positive Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:1900087)	2/31	0.037231194018021774	0.3260657571491919	0	0	6.993457117595049	23.012728178240227	ANXA1;CDC6
Gluconeogenesis (GO:0006094)	2/32	0.03946108560299276	0.3260657571491919	0	0	6.76	21.851296206855423	PCK2;SLC25A13
Actin Filament Bundle Organization (GO:0061572)	2/33	0.04174043067726295	0.3260657571491919	0	0	6.541604631927212	20.77800105618476	LIMA1;RFLNB
Positive Regulation Of Chromosome Organization (GO:2001252)	2/33	0.04174043067726295	0.3260657571491919	0	0	6.541604631927212	20.77800105618476	NCAPD3;GNL3
Protein K63-linked Deubiquitination (GO:0070536)	2/33	0.04174043067726295	0.3260657571491919	0	0	6.541604631927212	20.77800105618476	BARD1;BRCA1
Positive Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903322)	3/79	0.04315437638830615	0.3260657571491919	0	0	4.013903960933261	12.615585527864324	FANCI;BRCA1;GNL3
Organophosphate Biosynthetic Process (GO:0090407)	2/34	0.04406804955671163	0.3260657571491919	0	0	6.336858974358974	19.783802096083136	PPIP5K2;DDR2
Sister Chromatid Segregation (GO:0000819)	2/34	0.04406804955671163	0.3260657571491919	0	0	6.336858974358974	19.783802096083136	CENPK;KNTC1
Histone Deubiquitination (GO:0016578)	2/34	0.04406804955671163	0.3260657571491919	0	0	6.336858974358974	19.783802096083136	BARD1;BRCA1
Positive Regulation Of Transcription By RNA Polymerase I (GO:0045943)	2/34	0.04406804955671163	0.3260657571491919	0	0	6.336858974358974	19.783802096083136	DDX21;WDR75
Response To Type II Interferon (GO:0034341)	3/80	0.04452144646816452	0.3260657571491919	0	0	3.9615745079662608	12.32756520980857	IFITM3;IFITM2;TLR4
Adherens Junction Organization (GO:0034332)	2/35	0.046442780765588484	0.3260657571491919	0	0	6.144522144522145	18.8608211434416	CDH6;VCL
Neutral Amino Acid Transport (GO:0015804)	2/35	0.046442780765588484	0.3260657571491919	0	0	6.144522144522145	18.8608211434416	SLC1A5;SLC38A3
Platelet Aggregation (GO:0070527)	2/35	0.046442780765588484	0.3260657571491919	0	0	6.144522144522145	18.8608211434416	FLNA;VCL
Hexose Biosynthetic Process (GO:0019319)	2/35	0.046442780765588484	0.3260657571491919	0	0	6.144522144522145	18.8608211434416	PCK2;SLC25A13
Cellular Response To Organic Substance (GO:0071310)	3/82	0.04731966844393048	0.3260657571491919	0	0	3.8608899908651964	11.778916101943718	MME;STING1;CXCR4
Negative Regulation Of Glycogen Biosynthetic Process (GO:0045719)	1/5	0.04829378686343229	0.3260657571491919	0	0	25.253826530612244	76.53051828362327	PASK
DNA Replication-Dependent Chromatin Assembly (GO:0006335)	1/5	0.04829378686343229	0.3260657571491919	0	0	25.253826530612244	76.53051828362327	CHAF1B
