Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cocaine addiction	7/48	1.1333471270872782E-4	0.0024109384339856647	0	0	7.2669080839280005	66.02105940479508	GRIA2;JUN;GRIN3A;GNAI1;ADCY5;GRIN1;CREB5
Aldosterone synthesis and secretion	10/102	1.3229313478571402E-4	0.0025797161283214235	0	0	4.644768275203058	41.48005839649502	CAMK2B;ITPR2;ATP1A3;PRKCA;ATP1A2;CACNA1C;ATP1B1;CACNA1H;CREB5;ADCY5
Long-term potentiation	8/67	1.5763832301755496E-4	0.002837489814315989	0	0	5.778585468976004	50.59271335658176	CAMK2B;GRIA2;PPP1R1A;RPS6KA1;ITPR2;PRKCA;CACNA1C;GRIN1
Insulin secretion	9/86	1.73237177993097E-4	0.002895535689313193	0	0	4.987525632262474	43.19620604216588	CAMK2B;ADCYAP1R1;ATP1A3;PRKCA;ATP1A2;CACNA1C;ATP1B1;CREB5;ADCY5
Aldosterone-regulated sodium reabsorption	6/38	2.245434289303885E-4	0.0035028774913140608	0	0	7.966911764705882	66.93354250652727	PIK3R3;ATP1A3;ATP1A2;PRKCA;ATP1B1;SGK1
Relaxin signaling pathway	11/131	2.4719994168306017E-4	0.003615299147114755	0	0	3.920062408223201	32.557345547531334	SHC4;GNAO1;JUN;COL4A5;PIK3R3;PRKCA;FOS;EGFR;GNAI1;CREB5;ADCY5
Estrogen signaling pathway	11/134	3.009984821975451E-4	0.003755582797054032	0	0	3.8238601769277603	31.005408261805762	SHC4;GNAO1;JUN;GABBR1;ITPR2;PIK3R3;FOS;EGFR;GNAI1;CREB5;ADCY5
Cholinergic synapse	10/113	3.0749383235906453E-4	0.003755582797054032	0	0	4.146377893950709	33.531988269644195	GNAO1;CAMK2B;ITPR2;PIK3R3;PRKCA;CACNA1C;FOS;GNAI1;CREB5;ADCY5
Gastric acid secretion	8/74	3.1620068245592536E-4	0.003755582797054032	0	0	5.163848551157085	41.61614471787472	CAMK2B;ITPR2;ATP1A3;PRKCA;ATP1A2;ATP1B1;GNAI1;ADCY5
Dopaminergic synapse	11/135	3.209899826541908E-4	0.003755582797054032	0	0	3.7928271990905214	30.509883707221736	GNAO1;CAMK2B;GRIA2;ITPR2;PRKCA;CACNA1C;FOS;GNAI1;CREB5;ADCY5;ARNTL
Cardiac muscle contraction	8/78	4.537673713772612E-4	0.005056264995346624	0	0	4.867771178493279	37.47174177709445	CACNB3;CACNG8;CACNA2D2;ATP1A3;ATP1A2;CACNA1C;ATP1B1;COX6B2
ECM-receptor interaction	8/83	6.901681619391859E-4	0.007340879540625887	0	0	4.542086068563092	33.05991536515274	RELN;ITGB5;SPP1;ITGB8;ITGA7;COL4A5;NPNT;THBS2
Gap junction	8/86	8.740265994540984E-4	0.008584687152959002	0	0	4.3667171632160695	30.75216785250059	GUCY1A2;TUBB2B;ITPR2;PRKCA;TUBB4A;EGFR;GNAI1;ADCY5
Parathyroid hormone synthesis, secretion and action	9/107	8.804807336368207E-4	0.008584687152959002	0	0	3.9145408163265305	27.5389610555829	MMP14;JUND;ITPR2;PRKCA;FOS;EGFR;GNAI1;CREB5;ADCY5
FoxO signaling pathway	10/132	0.0010465688511669118	0.009795884446922294	0	0	3.4972077103224644	23.99867243542283	CCND2;BNIP3;CCNG2;AGAP2;S1PR1;PIK3R3;FBXO32;SGK1;EGFR;GADD45G
Dilated cardiomyopathy (DCM)	8/90	0.0011781747532173127	0.009846174723316113	0	0	4.152852644500187	28.005961390288242	CACNB3;CACNG8;ITGB5;ITGB8;CACNA2D2;ITGA7;CACNA1C;ADCY5
GABAergic synapse	8/90	0.0011781747532173127	0.009846174723316113	0	0	4.152852644500187	28.005961390288242	GNAO1;GABBR1;GAD1;ABAT;PRKCA;CACNA1C;GNAI1;ADCY5
GnRH signaling pathway	8/90	0.0011781747532173127	0.009846174723316113	0	0	4.152852644500187	28.005961390288242	CAMK2B;MMP14;JUN;ITPR2;PRKCA;CACNA1C;EGFR;ADCY5
p53 signaling pathway	7/71	0.001294843629996791	0.010448048600663761	0	0	4.649870360262009	30.91868680975705	CCND2;SESN3;CDKN2A;CCNG2;FAS;BBC3;GADD45G
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	7/72	0.0014061311749401755	0.01096782316453337	0	0	4.578098757138059	30.06397712894724	CACNB3;CACNG8;ITGB5;ITGB8;CACNA2D2;ITGA7;CACNA1C
Glioma	7/75	0.0017852611297131406	0.013475842075899191	0	0	4.375449524788081	27.68867848044311	SHC4;CAMK2B;CDKN2A;PIK3R3;PRKCA;EGFR;GADD45G
Renin secretion	7/76	0.0019278300155195056	0.014097256988486384	0	0	4.31181570786659	26.954713334008538	GUCY1A2;ADCYAP1R1;PDE1B;ITPR2;CACNA1C;GNAI1;ADCY5
Salivary secretion	7/78	0.002239301673187244	0.015878684591691367	0	0	4.189925579678947	25.5652131074743	GUCY1A2;ITPR2;ATP1A3;PRKCA;ATP1A2;ATP1B1;ADCY5
Long-term depression	6/61	0.002882842441357584	0.019840739155225728	0	0	4.629827688651218	27.07976266867071	GNAO1;GUCY1A2;GRIA2;ITPR2;PRKCA;GNAI1
Hypertrophic cardiomyopathy (HCM)	7/86	0.0038888701658301933	0.025999874822979007	0	0	3.764081587529711	20.889284978702552	CACNB3;CACNG8;ITGB5;ITGB8;CACNA2D2;ITGA7;CACNA1C
Cushing syndrome	10/159	0.004120615329653931	0.026783999642750553	0	0	2.8595029131941883	15.703683058411224	CAMK2B;CDKN2A;WNT7B;ITPR2;CACNA1C;CACNA1H;EGFR;GNAI1;CREB5;ADCY5
Wnt signaling pathway	10/160	0.004306812317990143	0.02719978709933914	0	0	2.8402930402930404	15.472658943491483	CAMK2B;SFRP1;JUN;CCND2;SFRP2;DAAM2;WNT7B;RAC3;PRKCA;ROR2
Colorectal cancer	7/88	0.0044170594434824245	0.02719978709933914	0	0	3.670763922583428	19.903913798037642	JUN;RAC3;PIK3R3;FOS;EGFR;BBC3;GADD45G
Protein digestion and absorption	7/90	0.00499770513062717	0.029986230783763022	0	0	3.5819434945020254	18.979917818794238	COL11A1;COL12A1;COL4A5;ATP1A3;ATP1A2;ATP1B1;SLC8A2
cGMP-PKG signaling pathway	10/172	0.00709999752979979	0.04153498554932877	0	0	2.628272961606295	13.003803216462051	GUCY1A2;ITPR2;ATP1A3;ATP1A2;CACNA1C;ATP1B1;GNAI1;SLC8A2;CREB5;ADCY5
Breast cancer	9/147	0.007527390711244674	0.04296120552271351	0	0	2.774170480549199	13.563493223115346	SHC4;NOTCH3;JUN;WNT7B;PIK3R3;FOS;EGFR;GADD45G;DLL3
Proteoglycans in cancer	11/203	0.00813415774513864	0.04531887886577242	0	0	2.4409531020558	11.745092736282704	CAMK2B;ITGB5;WNT7B;PXN;PDCD4;PIK3R3;FAS;ITPR2;PRKCA;FLNC;EGFR
Choline metabolism in cancer	7/99	0.0083442893379895	0.04540845825789635	0	0	3.230040820201253	15.4595499435931	JUN;PIK3R3;RAC3;PRKCA;FOS;DGKI;EGFR
Glucagon signaling pathway	7/102	0.009759898025883482	0.0502854645010217	0	0	3.127556883475063	14.478941170033096	CAMK2B;LDHB;GYS1;CPT1A;ITPR2;CPT1C;CREB5
PI3K-Akt signaling pathway	16/357	0.009776350608402254	0.0502854645010217	0	0	2.0057867271029135	9.282357778103552	ITGB5;PIK3R3;PRKCA;THBS2;EGFR;GYS1;RELN;CCND2;SPP1;COL4A5;ITGB8;ITGA7;SGK1;FGFR3;EPHA2;CREB5
Rap1 signaling pathway	11/209	0.009996170140195118	0.0502854645010217	0	0	2.3662506118453255	10.897893184639914	GNAO1;PIK3R3;RAC3;PRKCA;FGFR3;GNAI1;EGFR;RAP1GAP;EPHA2;ADCY5;GRIN1
Chagas disease (American trypanosomiasis)	7/103	0.010268528779072644	0.0502854645010217	0	0	3.094818959243086	14.170159426794298	GNAO1;JUN;PIK3R3;FAS;FOS;TICAM1;GNAI1
Alanine, aspartate and glutamate metabolism	4/37	0.010389260277871697	0.0502854645010217	0	0	5.12771971340301	23.418207077935854	ALDH4A1;GAD1;ABAT;RIMKLB
Human papillomavirus infection	16/360	0.010529862224572918	0.0502854645010217	0	0	1.9879836328792666	9.05236306523234	NOTCH3;ITGB5;WNT7B;PXN;PIK3R3;TICAM1;THBS2;EGFR;RELN;CCND2;SPP1;FAS;COL4A5;ITGB8;ITGA7;CREB5
Serotonergic synapse	8/132	0.012103860933860079	0.05664606917046516	0	0	2.740311992658996	12.096369577225664	GNAO1;KCND2;DUSP1;ITPR2;PRKCA;CACNA1C;GNAI1;ADCY5
Calcium signaling pathway	10/189	0.013237667383677022	0.06010114072915821	0	0	2.376573147522868	10.277939566920955	CAMK2B;HRH1;PDE1B;ITPR2;PRKCA;CACNA1C;CACNA1H;EGFR;SLC8A2;GRIN1
ErbB signaling pathway	6/84	0.013539090788405221	0.06010114072915821	0	0	3.2607675548852018	14.028389928773331	SHC4;CAMK2B;JUN;PIK3R3;PRKCA;EGFR
Proximal tubule bicarbonate reclamation	3/22	0.013846254948834763	0.06010114072915821	0	0	6.669856459330144	28.545254709595447	ATP1A3;ATP1A2;ATP1B1
Pathways in cancer	21/535	0.014169326055659607	0.06010114072915821	0	0	1.7502760542643812	7.450357702085738	CAMK2B;NOTCH3;JUN;DAPK1;CDKN2A;WNT7B;PIK3R3;PRKCA;FOS;EGFR;GNAI1;BBC3;ADCY5;GADD45G;DLL3;CCND2;RAC3;FAS;COL4A5;PIM2;FGFR3
Hepatitis B	9/163	0.014190748166826288	0.06010114072915821	0	0	2.4838943950786057	10.569380653262606	EGR2;JUN;EGR3;PIK3R3;FAS;PRKCA;FOS;TICAM1;CREB5
Insulin resistance	7/110	0.014383178977918203	0.06010114072915821	0	0	2.8834527493958535	12.230729652261642	GYS1;CPT1A;PPP1R3C;RPS6KA1;PIK3R3;PRKCQ;CREB5
Bladder cancer	4/41	0.014817864824577883	0.060831234543003945	0	0	4.572433604971566	19.258732521073565	CDKN2A;DAPK1;FGFR3;EGFR
Central carbon metabolism in cancer	5/64	0.016493556110122543	0.06598174259419923	0	0	3.5880619012527633	14.728224512498219	PIK3R3;FGFR3;EGFR;PFKP;PDK1
Human cytomegalovirus infection	12/255	0.01663642227802459	0.06598174259419923	0	0	2.1030714305180824	8.614518908992597	GNAO1;CDKN2A;PXN;PIK3R3;RAC3;FAS;ITPR2;PRKCA;GNAI1;EGFR;ADCY5;CREB5
Apoptosis	8/141	0.01741342452750024	0.06681337801701621	0	0	2.5536927658314275	10.343767905574133	JUN;ITPR2;PIK3R3;FAS;CTSF;FOS;GADD45G;BBC3
Carbohydrate digestion and absorption	4/43	0.017417162645461493	0.06681337801701621	0	0	4.337504866789032	17.568192491775697	PIK3R3;ATP1A3;ATP1A2;ATP1B1
Thyroid hormone signaling pathway	7/115	0.01796447012767367	0.0677398695852085	0	0	2.749251981238881	11.0502316660691	NOTCH3;PIK3R3;ATP1A3;PRKCA;ATP1A2;ATP1B1;PFKP
Non-small cell lung cancer	5/66	0.01862386719958655	0.0677398695852085	0	0	3.470064148253742	13.822345865551737	CDKN2A;PIK3R3;PRKCA;EGFR;GADD45G
Hepatocellular carcinoma	9/171	0.018816571431633948	0.0677398695852085	0	0	2.36025828460039	9.377347087521557	SHC4;CDKN2A;WNT7B;DPF3;PIK3R3;PRKCA;SMARCA2;EGFR;GADD45G
Mineral absorption	4/44	0.018816630440335692	0.0677398695852085	0	0	4.22885032537961	16.801282402058753	ATP1A3;CYBRD1;ATP1A2;ATP1B1
Glycolysis / Gluconeogenesis	5/67	0.019753821539709095	0.07003627636805952	0	0	3.4139200561009817	13.39761624013049	GPI1;LDHB;TPI1;ACSS1;PFKP
Morphine addiction	6/92	0.020378635814673397	0.0711731459796056	0	0	2.9562243502051984	11.509374227766662	GNAO1;GABBR1;PDE1B;PRKCA;GNAI1;ADCY5
Cortisol synthesis and secretion	5/69	0.022146339395229843	0.07620946203652623	0	0	3.3068953804347827	12.599546071748849	ITPR2;CACNA1C;CACNA1H;CREB5;ADCY5
Human immunodeficiency virus 1 infection	11/238	0.023947688894760063	0.08096579126391942	0	0	2.0608589338042655	7.690885362004039	GNAO1;JUN;LIMK2;PXN;PIK3R3;RAC3;FAS;ITPR2;PRKCA;FOS;GNAI1
Retrograde endocannabinoid signaling	8/150	0.024220535848181023	0.08096579126391942	0	0	2.390729497334114	8.894839190918535	GNAO1;GRIA2;ITPR2;PRKCA;CACNA1C;MGLL;GNAI1;ADCY5
AMPK signaling pathway	7/126	0.02795974651449195	0.09214902372381854	0	0	2.4937066529668637	8.919962333355155	GYS1;TBC1D1;CPT1A;PIK3R3;CPT1C;PFKP;CREB5
Cysteine and methionine metabolism	4/50	0.02865986913644947	0.09249488099161131	0	0	3.6761293973403752	13.058557938368292	LDHB;TST;CBS;KYAT1
Inflammatory mediator regulation of TRP channels	7/127	0.029023232313265274	0.09249488099161131	0	0	2.4727983988355167	8.752862255660304	CAMK2B;HRH1;ITPR2;PIK3R3;PRKCA;PRKCQ;ADCY5
Melanogenesis	6/100	0.029250517920424088	0.09249488099161131	0	0	2.703518286747323	9.548442685896177	GNAO1;CAMK2B;WNT7B;PRKCA;GNAI1;ADCY5
Pancreatic cancer	5/75	0.030422624164424924	0.09491858739300577	0	0	3.0225155279503104	10.556343223169678	CDKN2A;RAC3;PIK3R3;EGFR;GADD45G
Regulation of actin cytoskeleton	10/217	0.03098208321397297	0.09539220357986414	0	0	2.0521314434357913	7.129815087368472	ITGB5;LIMK2;SPATA13;PXN;PIK3R3;RAC3;ITGB8;ITGA7;FGFR3;EGFR
Circadian rhythm	3/30	0.03186002339062098	0.09682136978448454	0	0	4.691678691678692	16.169416645596208	PER1;CRY2;ARNTL
Synaptic vesicle cycle	5/77	0.03355955381968898	0.10067866145906695	0	0	2.938254830917874	9.973711195144535	UNC13B;STX1B;UNC13A;SLC1A2;SLC1A3
Propanoate metabolism	3/31	0.034682172768139875	0.10272947376892064	0	0	4.523886827458256	15.207178921679317	LDHB;ABAT;ACSS1
Pancreatic secretion	6/105	0.035914076489634315	0.10504867373218037	0	0	2.5663167623951937	8.537175957117455	ITPR2;ATP1A3;PRKCA;ATP1A2;ATP1B1;ADCY5
beta-Alanine metabolism	3/32	0.037629157862676024	0.10870645604773073	0	0	4.367666815942678	14.325842568319533	SMOX;GAD1;ABAT
Endocrine and other factor-regulated calcium reabsorption	4/55	0.038814144718120565	0.11076231541512453	0	0	3.314873888818	10.769927622494302	ATP1A3;PRKCA;ATP1A2;ATP1B1
Regulation of lipolysis in adipocytes	4/56	0.04106142609389196	0.11576353862615324	0	0	3.2509594526948105	10.379293173459526	PIK3R3;MGLL;GNAI1;ADCY5
Apelin signaling pathway	7/138	0.04255548860703153	0.11854743254815926	0	0	2.263875462515417	7.146933582765333	NOTCH3;HDAC5;SPP1;ITPR2;GNAI1;SLC8A2;ADCY5
TNF signaling pathway	6/110	0.04348162532040372	0.11854884174529223	0	0	2.4423076923076925	7.657652658506214	JUN;MMP14;PIK3R3;FAS;FOS;CREB5
Alcoholism	9/199	0.043569232436303985	0.11854884174529223	0	0	2.00952216066482	6.296644888450217	SHC4;GNAO1;HDAC5;GRIN3A;PKIA;GNAI1;ADCY5;GRIN1;CREB5
Vascular smooth muscle contraction	7/140	0.04538969086016645	0.12171429152020581	0	0	2.229602390255114	6.894979113108131	GUCY1A2;CALD1;ITPR2;PRKCA;PRKCQ;CACNA1C;ADCY5
VEGF signaling pathway	4/58	0.045772895956316714	0.12171429152020581	0	0	3.1302321844621193	9.653833744774104	PXN;RAC3;PIK3R3;PRKCA
Th1 and Th2 cell differentiation	5/87	0.05218895749429776	0.13721591071534467	0	0	2.578605514316013	7.614323864763847	NOTCH3;JUN;PRKCQ;FOS;DLL3
Glycerolipid metabolism	4/61	0.0533807045484189	0.13878983182588914	0	0	2.965026448985805	8.688434604924252	DGAT2;LPIN1;MGLL;DGKI
Pyruvate metabolism	3/38	0.05786047391706753	0.14878407578674507	0	0	3.6178107606679037	10.309750534304852	LDHB;PCX;ACSS1
Nicotine addiction	3/40	0.06553635675322089	0.16669029869840968	0	0	3.421902421902422	9.325198156336734	GRIA2;GRIN3A;GRIN1
mTOR signaling pathway	7/154	0.0685942263535702	0.1725919243734992	0	0	2.015803701393221	5.401440582730991	WNT7B;RPS6KA1;ULK2;PIK3R3;PRKCA;SGK1;LPIN1
Sphingolipid signaling pathway	6/124	0.06965961966198789	0.17340798937133156	0	0	2.1509914700343415	5.730530528553194	CERS6;S1PR1;PIK3R3;RAC3;PRKCA;GNAI1
Type I diabetes mellitus	4/69	0.07678099862411504	0.18912372292676757	0	0	2.599032204238278	6.671190879984886	PTPRN2;PTPRN;GAD1;FAS
Toll-like receptor signaling pathway	5/99	0.08111339000875367	0.19771388814633709	0	0	2.2480342275670675	5.646853421807532	JUN;SPP1;PIK3R3;FOS;TICAM1
Hedgehog signaling pathway	3/44	0.08219108827806718	0.19827540883574968	0	0	3.0874247703516	7.714574201580599	EVC2;CCND2;EVC
B cell receptor signaling pathway	4/72	0.08668405678895502	0.2008323691942126	0	0	2.4839862192165367	6.074551788237797	JUN;RAC3;PIK3R3;FOS
Bile secretion	4/72	0.08668405678895502	0.2008323691942126	0	0	2.4839862192165367	6.074551788237797	ATP1A3;ATP1A2;ATP1B1;ADCY5
Melanoma	4/72	0.08668405678895502	0.2008323691942126	0	0	2.4839862192165367	6.074551788237797	CDKN2A;PIK3R3;EGFR;GADD45G
Prolactin signaling pathway	4/72	0.08668405678895502	0.2008323691942126	0	0	2.4839862192165367	6.074551788237797	SHC4;CCND2;PIK3R3;FOS
Viral carcinogenesis	9/229	0.08766727535602645	0.20111904346382536	0	0	1.732805023923445	4.218005412356403	HDAC5;EGR2;JUN;EGR3;CCND2;CDKN2A;PXN;PIK3R3;CREB5
Longevity regulating pathway	5/102	0.08944597131214237	0.20320735230137196	0	0	2.178171223666517	5.258367822023334	SESN3;PIK3R3;CRYAB;CREB5;ADCY5
Thermogenesis	9/231	0.0913047797941257	0.2054357545367828	0	0	1.7170163584637268	4.10976817944327	CPT1A;RPS6KA1;DPF3;CPT1C;COX6B2;SMARCA2;MGLL;ADCY5;CREB5
HIF-1 signaling pathway	5/104	0.09523825654567199	0.21224525744464043	0	0	2.133948177426438	5.017709330141588	CAMK2B;PIK3R3;PRKCA;EGFR;PDK1
Mannose type O-glycan biosynthesis	2/23	0.09908066086899053	0.21638671885263636	0	0	4.013987452432377	9.279620503645488	MGAT5B;B3GAT1
Signaling pathways regulating pluripotency of stem cells	6/137	0.10060086948069967	0.21638671885263636	0	0	1.9362370902559498	4.446751216740193	WNT7B;ESRRB;PIK3R3;BMPR1B;KLF4;FGFR3
Chronic myeloid leukemia	4/76	0.1007955228843477	0.21638671885263636	0	0	2.3455049409496262	5.3821395111541035	SHC4;CDKN2A;PIK3R3;GADD45G
Pertussis	4/76	0.1007955228843477	0.21638671885263636	0	0	2.3455049409496262	5.3821395111541035	JUN;FOS;TICAM1;GNAI1
Notch signaling pathway	3/49	0.10526120234460665	0.2239192849876178	0	0	2.7511293054771317	6.1936459525284855	NOTCH3;DTX1;DLL3
Arginine and proline metabolism	3/50	0.11015065224749383	0.2301361841599425	0	0	2.6924564796905224	5.939306668762591	ALDH4A1;SMOX;AZIN2
N-Glycan biosynthesis	3/50	0.11015065224749383	0.2301361841599425	0	0	2.6924564796905224	5.939306668762591	ST6GAL2;MGAT5B;MGAT3
Fluid shear stress and atherosclerosis	6/143	0.11696518019808481	0.24221108111815795	0	0	1.8508658938027767	3.971734241523072	JUN;DUSP1;PIK3R3;RAC3;FOS;BMPR1B
Measles	6/144	0.11981521138846361	0.2425442364851705	0	0	1.8373590982286634	3.8985170382294174	JUN;CCND2;PIK3R3;FAS;FOS;BBC3
Amyotrophic lateral sclerosis (ALS)	3/52	0.12018425860511174	0.2425442364851705	0	0	2.5822952557646435	5.471184427209668	GRIA2;SLC1A2;GRIN1
C-type lectin receptor signaling pathway	5/112	0.12023560441145205	0.2425442364851705	0	0	1.9735879723689558	4.180655528634935	EGR2;JUN;EGR3;ITPR2;PIK3R3
Butanoate metabolism	2/27	0.12953027630042271	0.25906055260084543	0	0	3.371058315334773	6.889905955505883	GAD1;ABAT
Phospholipase D signaling pathway	6/149	0.13457290384405146	0.26686491101278004	0	0	1.7726587138351844	3.555331514921041	SHC4;PIK3R3;PRKCA;DGKI;EGFR;ADCY5
Mucin type O-glycan biosynthesis	2/28	0.13744847467800236	0.2702768325601055	0	0	3.2412360857285263	6.432252983713346	GALNT16;GALNT17
Natural killer cell mediated cytotoxicity	5/118	0.14079368512455057	0.2745476859928736	0	0	1.8682185455944593	3.662567143708292	SHC4;PIK3R3;RAC3;FAS;PRKCA
Neurotrophin signaling pathway	5/121	0.15161134203574567	0.29179329539757326	0	0	1.8196214392803598	3.432597557131887	SHC4;CAMK2B;JUN;RPS6KA1;PIK3R3
Endometrial cancer	3/58	0.15213154717309377	0.29179329539757326	0	0	2.2998819362455727	4.330699972925381	PIK3R3;EGFR;GADD45G
Progesterone-mediated oocyte maturation	4/90	0.15751187090196986	0.2996567300086256	0	0	1.9622660545830601	3.6267669728643517	RPS6KA1;PIK3R3;GNAI1;ADCY5
Platelet activation	5/125	0.1665549577369488	0.3143053234713389	0	0	1.758605072463768	3.1521763977564388	GUCY1A2;ITPR2;PIK3R3;GNAI1;ADCY5
Pentose phosphate pathway	2/32	0.17006175914821633	0.318355613125461	0	0	2.80849532037437	4.975512387999925	GPI1;PFKP
Sulfur relay system	1/8	0.1715752071365677	0.3186396703964829	0	0	6.012315270935961	10.59811003919798	TST
Chemokine signaling pathway	7/197	0.1762093158460422	0.32113384213438784	0	0	1.5561365203401516	2.7015816855991845	SHC4;PXN;PIK3R3;RAC3;CXCL14;GNAI1;ADCY5
Ras signaling pathway	8/233	0.17701317331425254	0.32113384213438784	0	0	1.502358375881352	2.601380286750127	SHC4;PIK3R3;RAC3;PRKCA;FGFR3;EGFR;EPHA2;GRIN1
Osteoclast differentiation	5/128	0.17812902687247995	0.32113384213438784	0	0	1.7154471544715446	2.959570264842252	JUN;JUND;PIK3R3;FOS;FOSL2
Starch and sucrose metabolism	2/33	0.1784076900746599	0.32113384213438784	0	0	2.7177593534452726	4.684558188273522	GPI1;GYS1
Mitophagy	3/63	0.18055225460445587	0.3225131876140662	0	0	2.107683982683983	3.6077965346529153	JUN;PINK1;BNIP3
Autophagy	5/130	0.1860089810614961	0.3279533231285544	0	0	1.6878260869565218	2.838856507275856	DAPK1;BNIP3;ULK2;PIK3R3;PRKCQ
Glutathione metabolism	3/64	0.1864008204106741	0.3279533231285544	0	0	2.073025335320417	3.482383996684292	GPX3;NAT8F1;GPX7
Sulfur metabolism	1/9	0.1908437638554024	0.3332644831504788	0	0	5.260506465517241	8.712977784464222	TST
Phosphatidylinositol signaling system	4/98	0.19418827718300388	0.3359894508992172	0	0	1.794526238057876	2.9410976645636935	ITPR2;PIK3R3;PRKCA;DGKI
Fructose and mannose metabolism	2/35	0.19527592018074164	0.3359894508992172	0	0	2.5527848681196414	4.169570091785042	TPI1;PFKP
AGE-RAGE signaling pathway in diabetic complications	4/101	0.20857531089652187	0.3514300048120767	0	0	1.7387570722544	2.725423639907014	JUN;COL4A5;PIK3R3;PRKCA
T cell receptor signaling pathway	4/101	0.20857531089652187	0.3514300048120767	0	0	1.7387570722544	2.725423639907014	JUN;PIK3R3;PRKCQ;FOS
MicroRNAs in cancer	9/281	0.20903631377444837	0.3514300048120767	0	0	1.3977602554179567	2.1878404546486125	SHC4;NOTCH3;CCND2;CDKN2A;PDCD4;PRKCA;BMF;FGFR3;EGFR
Fc epsilon RI signaling pathway	3/68	0.2102572678362852	0.3514300048120767	0	0	1.945054945054945	3.033164221151147	RAC3;PIK3R3;PRKCA
Human T-cell leukemia virus 1 infection	8/245	0.21228834445025888	0.3523083163217062	0	0	1.4254032444210545	2.2091039358250897	EGR2;JUN;CCND2;CDKN2A;PIK3R3;FOS;ADCY5;CREB5
Alzheimer disease	6/175	0.22327264911901085	0.367928168266539	0	0	1.497930927795181	2.2459401313883083	ITPR2;FAS;CACNA1C;APBB1;COX6B2;GRIN1
Taurine and hypotaurine metabolism	1/11	0.22804954239507985	0.3704025144253564	0	0	4.207974137931035	6.220195316133252	GAD1
Adipocytokine signaling pathway	3/71	0.2285649954257741	0.3704025144253564	0	0	1.8589572192513368	2.74369940105011	CPT1A;PRKCQ;CPT1C
African trypanosomiasis	2/39	0.2295229256054559	0.3704025144253564	0	0	2.276341135952367	3.35021044074413	FAS;PRKCA
